SKU,Dead weight (g),Volumetric weight (g)
NTN101,274,0
NTN102,289,0
NTN103,270,0
NTN104,282,0
NTN105,281,0
NTN106,303,0
NTN107,296,0
NTN108,282,0
NTN109,276,0
NTN110,267,0
NTN111,17,0
NTN112,22,0
NTN113,135,273
NTN114,77,273
NTN115,79,273
NTN116,83,273
NTN117,79,273
NTN118,20,0
NTN119,489,0
NTN120,495,0
NTN121,494,0
NTN122,502,0
NTN123,44,0
NTN124,393,273
NTN125,29,0
NTN126,587,420
NTN127,46,0
NTN128,159,273
NTN129,207,420
NTN130,204,420
NTN131,206,420
NTN132,207,420
NTN133,299,273
NTN134,295,256
NTN135,137,267
NTN136,129,260
NTN137,39,0
NTN138,475,0
NTN139,481,0
NTN140,483,0
NTN141,488,0
NTN142,54,0
NTN143,217,277
NTN144,361,420
NTN145,138,260
NTN146,444,0
NTN147,500,0
NTN148,490,0
NTN149,500,0
NTN150,496,0
NTN151,30,0
NTN152,101,277
NTN153,100,277
NTN154,102,277
NTN155,103,277
NTN156,399,0
NTN157,408,0
NTN158,376,0
NTN159,443,0
NTN160,396,0
NTN161,408,0
NTN162,235,0
NTN163,245,0
NTN164,257,0
NTN165,280,0
NTN166,161,287
NTN167,263,0
NTN168,251,0
NTN169,279,0
NTN170,272,0
NTN171,238,0
NTN172,211,0
NTN173,206,277
NTN174,335,420
NTN175,17,0
NTN176,135,260
NTN177,190,420
NTN178,23,0
NTN179,175,420
NTN180,105,260
NTN181,104,260
NTN182,41,0
NTN183,25,0
NTN184,330,400
NTN185,320,420
NTN186,56,0
NTN187,31,0
NTN188,30,0
NTN189,22,0
NTN190,43,0
NTN191,23,0
NTN192,25,0
NTN193,9,0
NTN194,20,0
NTN195,57,0
NTN196,281,250
NTN197,140,260
NTN198,137,260
NTN199,210,250
NTN200,196,400
NTN201,133,0
NTN202,513,0
NTN203,513,0
NTN204,513,0
NTN205,513,0
NTN206,24,0
NTN207,25,0
NTN208,16,0
NTN209,166,260
NTN210,269,420
NTN211,320,420
NTN212,233,420
